People,Comments
sadath khan,"Thanks, its very useful, clear and simple"
Amaan Khan,"Excellent Course. No distraction, No crap. Just explained with so much ease and comfort. Makes so much sense for every minute of the hour!!!"
Dave Powell,Hi Mosh! My name is Dave Powell & I am learning python b/c I will be taking an algorithm coding class next month. I was told that this class is recommended. Thank you for providing the knowledge. Take care...DPowell
Sandy,"Thank you for this beginner's course, I find it to be very helpful!"
vinodha elangovan,Since I was new in learning codes. Fr yesterday I have started to learn. It is easier as u explain it in simple way. Thank u. And I have tried the coding for if exercise and finally solved after 1 hr.
Bai Wu Li,"Thank you very much! I had my first programming course last week and the teacher didnt even teach us how to use Python because he assumed that its common knowledge just like 1+1. For me, it was like going to a battlefield without knowing how to use a gun."
E T,"I love how every time he says ""Let me show you"" it's unlike any  other teacher trying to explain anything - he does such an good job!"
Keith Marx,Reminds my of my high school days in the 70's learning how to code with Basic on a mainframe!  A lot of the concepts are the same!  Thanks for the video.  I want to learn more!
Shadow Monster,"Thank you very much Mosh, you really lifted my carrier up!"
Ego Cheap,"This is a wonderful video dude. I would watch like twenty or so minutes, then come up with fun things to do with those concepts, then continue. It's a great first video."
DHeepak Chandrashekar,"Hey Mosh, you have been a great tutor.. Would be great if can post many more tutorials on Python"
Mr H - Travelling Teacher,"Mosh, please can you reveal the code for excercise 1. What is the output meant to look like?"
Stephen Wilkinson,"MOSH!, you legend. I've been umming and ahhing over 'learning to code' for years. Prior to this video my coding knowledge could be described as zero. You really set the basic concepts out in an easy to follow way and being able to pause, go back, take notes etc made this format perfect for me to learn my way (I have Asperger's Syndrome and probable ADHD). I'm now familiar with the basic concepts of Python and I'm excited to start coding and playing around before I follow another tutorial of yours. I'm planning to purchase your 12hr Python mastery course if the offer is still at the reduced price in a few days after I get paid. Can't wait to learn more Python with Mosh. Thanks man!."
Mohammed Alramlawi,"Just saved my time, thank you Mosh, I really loved it"
Vin Ling,Currently recovering from TBI an struggle with learning conditions. Your videos are better then the digital book at my online school. Thank you for all your efforts.
baddie bill,These videos are helping me pass/better familiarize my self withpersonal. I'd be struggling even harder if it wasn't for your vids. I can't begin to express how thankful I am
Muhammad Badrul Munir,FULL SUPPORT FOR YOU SIR! YOU'RE MY ANGLE!
Jose A Perez Benitez🇪🇸,My trading journey was a matriculation of high and low literally just like the market. You up and you down. Now I'm constantly up
Kelvin Chibuye,Well I've always have this great interest in programming and later software engineering and I'm learning python for web development
Christopher Ferrer,Yeah he's a really good teacher to show you the difference in the uppercase and lowercase is definitely a definitive concept and important even the spacing sometimes it's difficult to see the spacing
Wensleydale,"This hour-long course was a great refresher for when you've stepped away for a while and need to get back up to speed. Awesome job. Quick, concise, easily understood."
Amandeep S,"Thank you Mosh!!!
I just started with this today.  It's been great and your lectures are helping a lot.

And dear friends why don't you try this interesting code code that traps your system in a never ending loop....."
xal.,"Hi! Thanks for the video! First time trying to learn Python after learning css and html. 

On the first exercise, I googled how to write a conditional statement to output whether he was a new patient or not. I know it only works in this case. Just trying to get use to utilizing different statements and actually getting them to work, lol."
Samreen Naz,sir keep up on the same level of hard work you are a teacher in true words congrats you have got another active and loving subscriber
Junking Junking,"Best beginner tutorial I have seen so far. Thank you, Sir."
Todd Thompson,I just want to say thank you for this. I feel really lucky to have been given this knowledge and it makes me so happy to see truly knowledgeable talented and hardworking individuals be so generous with the information they undoubtedly invested years and  so much hard work to be able to get to the level of understanding they have so as to even be able to speak with such a competent grasp. Again HUGE thank you to you. You are amazing kind sir.
ranch,It is so short yet gives so much information. I 1000% recommend it to beginners
Ilim Abzarov,"Very helpful, Thank you!"
Kenny A OJ,Great content.. thanks a million!
willie sanape,"I'm learning Python for Web Development! 
Thanks for the help!"
Doramus,"Just Started learning Python, Great Tutorial!"
Ramanjaneyulu Mudiraj,I can't just thank you enough Mosh! You're a true legend spending your great time for these free courses. You're definitely an inspiration to the up coming generations of AI labs and desire's of coding.
Prateek Shukla,"this is amazing, thank you for making valuable video"
Dalk:-Cyber_Agency on telegram is the best,Thanks a million times. What a privilege and blessing it is to have you in my life I am forever grateful.
Bleib _r6,you tought me what my gcse teacher couldnt in 3 years in just over an hour. incredible stuff
gothboibussi,"Honestly amazing content! By the time I got to if statements I made my first ""program"" that will give out different responses to user input. Made it really easy to wrap my head around the concepts. I think my first in-depth program is gonna be a choose-your-own adventure type deal.  Thank you so much."
Coral,Learned more then all my months of Python lessons
Jaitan Martini,Thanks very very much! Great teaching skills Sr !
sidney joseph,"Wow, excellent!! Thank you for posting this"
Aspire Automobile,"Print(""Summation calculator"") 
N = input(""Enter first number: "") 
M = input(""Enter second member: "") 
Sum = int(N) + int(M)"
Doonkey Korng,"I wanna learn this for two main reasons:

1.) I’m just simply fascinated by computer science and programming, and realize how great of a skill they are to know in modern times. And I’ve been told many times that Python is generally considered the “easiest” and “widely used” language."
Manon Viau,Python looks so simple to use. So interesting.  Great dynamic voice. Really enjoy this intro. Thank you!
blobe stanoh,"Great 
This has given me all I wanted  to start my career in python programming"
Shivam Sachan,Thank you Mosh for your wonderful contribution
Chase Allen,"This was my take on the weight converter, looks pretty janky but its working ! feedback appreciated; this was done with only knowledge previous to the excersize

print(""Kilograms to Pounds Converter"")"
Esther Mwaura,This is by far the most well explained python code for beginners. Thank you!
Majin,Hey dude you're the shit thank you for taking the time to teach the rest of us. Im actually understanding things now and am not only excited for the future but to see what all i create with this  new found knowledge. I hope for a long and prosperous career. Thank you Mosh
Abdullahi Ahmed,"Hi, I have done GW basic programming 26 years ago; and Python is very quite close to it. So far, I find it pretty easy; but,  I will see when writing
huge projects comes to light. I am impressed by your simple and effective explanation; Thanks a lot for the effort you made."
Vivek Pandey,"Exersice 15:04
first = input(""First: "")

second = input(""Second: "")

sum = float(first) + float(second)"
harvey,"for anyone out there who just got started, even though you could use pycharm this is an old version and I asked my brother if I should use this he said that pycharm isn't that efficient compared to visual studio code. he said that it would be easier since I just got started and not to use pycharm. I will be using that and just wanted to give the advice of a computer science engineer."
Jayvon Bello,This guy made us save $$ for online python courses. Thank you and God bless sir!
Chill LoFi Music | Chilled Shiba,"Thanks! I learned so much from this video, grateful for all the quality content that you've put out. Hope 2022 will be a good coding year :)"
Tom van Dalen,Your explanation is so well done and chill that at 15:00 min exercise I automatically skipped the mistake you showed on purpose. I did however forgot to write the input line the correct way.
Moni Harrion,"Im a newbie in learning python. I want to learn how to use it in gaming, animation and visual effects. Will you have any specific videos for that? Also just subscribed."
WoahMichael,"Exercise 36:17

weight = input('Weight: ')

KL = input('(K)g or (L)bs? ')"
Joe Lara,I graduated with my bachelor's a few months ago and I'm going to apply for a masters in data analytics and I'm brushing up on my Python and this is amazing. Thank you so much for the amazing tutorial!
sara ali,Really nice lesson!
Sebastian Kahl,Very concise yet still easy to follow along with; thank you.
Zeft M3afen,I always tell my self I need to learn Python. I play some videos and I get bored or sleep lol. But not when I'm watching your videos Mosh. I love ur videos and keeps me focused. Truly appreciate it. This video was great to watch.
farlaff,"Hi, Mosh. First, thanks for making these amazing videos. I started going through them about three days ago and already spent about ten hours going back and forth the exercises. I actually regret not having started with this earlier. I have interest in Machine Learning, but that is for the future. For now, I would like to know if I could apply Python for editing E-Books that are going to be published in Kindle, for instance. Many of the formatting in the editions are repetitive and it seems there would be a possibility. If there is, I would like to know more about it. Cheers and all the best."
Adenso,"17:53 i really liked this calculator and i decided to make it a bit pretty as i was doing mine. obviously i had to watch til this point to figure out why i couldnt just simply concatenate the lines of code, but after learning why and fixing it i got here and i like the way it looks"
indiana1120,"Thank you! I've been out of practice for years, and with this video, all of the basics came flooding back to me. Just what I needed"
